RoadCategory,LinkLength_km,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,AllMotorVehicles
PU,1,523,11414,1874,1439,15903
PU,1,183,10162,179,1781,12538
PU,0.2,1909,11872,1981,3238,19916
PU,1.4,3454,28199,892,6023,39469
PU,0.2,2042,23159,1349,4747,32197
PU,1.6,3564,22167,331,5322,32760
PU,1.1,1197,9454,1823,1628,14484
PU,0.2,1304,24767,3281,4577,35148
PU,0.4,629,7811,1270,1391,11377
PU,0.7,1291,20294,743,5097,28243
PU,0.1,830,11690,462,2996,16141
PU,0.4,297,7011,1015,1738,10863
PU,0.2,549,12431,268,5147,19712
PU,1.2,142,8632,254,924,10159
PU,1.2,447,10317,749,2471,14459
PU,1.4,444,27483,700,3866,33390
PU,1.9,261,11776,275,1333,13971
PU,3.1,140,16841,274,2569,20342
PU,2.3,67,8661,166,589,9571
PU,3.6,418,11983,295,1832,14963
PU,0.3,2201,18227,4100,4854,30015
PU,0.9,1139,10431,2833,2295,17232
PU,1.4,4091,70834,5260,10494,92046
PU,0.7,360,4474,1451,859,7342
PU,0.3,507,12942,680,1828,16184
PU,1.9,105,15567,606,1304,17662
PU,1.7,255,15911,173,1283,17891
PU,1.8,217,11114,190,1251,13011
PU,0.2,549,9225,311,894,11266
PU,0.8,696,8906,668,1894,12435
PU,0.3,1020,7473,783,2318,12236
PU,0.5,1313,8338,1114,2025,13524
PU,2.3,418,21938,148,1510,24359
PU,1.8,92,15483,418,2327,19099
PU,0.1,1116,23890,1241,3523,30789
PU,0.4,154,25557,724,2908,29716
TM,4.6,654,79141,302,17356,120348
PU,0.6,1132,13332,303,2371,17752
PU,0.3,709,13935,553,1349,16950
PU,0.3,197,7407,1610,1537,11006
PU,1,299,19773,152,3275,24423
PU,0.3,1004,9827,250,2902,14531
PU,0.1,3346,46888,3279,7157,62493
PU,0.2,2379,10196,1748,2541,17698
PU,0.4,743,8899,154,1128,11175
PU,0.3,1539,4993,65,1623,8423
PU,0.5,816,25082,1527,3724,31616
PU,0.2,113,6424,77,1127,7968
PU,1.1,107,11478,43,1574,13715
PU,0.1,1192,13255,1297,1768,18049
PU,0.6,199,9488,108,1527,11918
PU,1.1,1194,18697,1790,2707,24854
PU,0.1,1695,15056,1714,2933,22509
PU,0.2,171,4733,588,1009,6695
PU,0.3,540,11544,461,1746,14638
PU,0.2,834,11699,1071,1522,15405
PU,0.1,1024,16520,1611,2052,21801
PU,0.2,772,19741,1507,3206,25626
PU,1.2,373,22631,1047,2247,26770
PU,0.4,1099,11855,639,3384,17606
PU,0.1,378,9898,663,1858,13752
PU,0.2,5024,52456,2158,9747,71649
PU,0.2,644,27292,651,4631,34448
